iter	RMSE
0	0.4873353267
1	0.4786548704
2	0.4696511472
3	0.4613019512
4	0.4529688808
5	0.4447741458
6	0.4371683524
7	0.4303021324
8	0.4232975495
9	0.4166539786
10	0.4101894528
11	0.4060253303
12	0.3997930242
13	0.3941558056
14	0.3882452788
15	0.3828803537
16	0.3778471227
17	0.3728786604
18	0.3690500607
19	0.3641541904
20	0.3600979737
21	0.3557369511
22	0.3522704062
23	0.3483562486
24	0.3446016409
25	0.3412144313
26	0.3379968771
27	0.3347685442
28	0.3318016707
29	0.3285507538
30	0.3252088737
31	0.3228558025
32	0.320485141
33	0.318561683
34	0.3159080172
35	0.313554155
36	0.3121418325
37	0.3108315455
38	0.3087307223
39	0.3070160121
40	0.3047161486
41	0.302448279
42	0.3009287317
43	0.2995061293
44	0.2981224404
45	0.2963773979
46	0.2946509178
47	0.2929754751
48	0.291626261
49	0.2906319894
50	0.2892213095
51	0.2886414881
52	0.2869848548
53	0.2854097264
54	0.2844015043
55	0.2832990922
56	0.2818514121
57	0.2807970492
58	0.2795511366
59	0.2785838281
60	0.2772965878
61	0.2763758013
62	0.2755153512
63	0.274590452
64	0.2733812071
65	0.2724441579
66	0.2718116316
67	0.2711846828
68	0.2700483751
69	0.268970211
70	0.2681020564
71	0.2671621271
72	0.2665409968
73	0.2657922581
74	0.2651120904
75	0.2644920305
76	0.2636249084
77	0.2626546373
78	0.2619471823
79	0.2612775481
80	0.2604862606
81	0.2598340535
82	0.2589061836
83	0.2580947931
84	0.2572841157
85	0.2567944223
86	0.2560039463
87	0.2554994925
88	0.2547706751
89	0.254214221
90	0.2538639293
91	0.2534538183
92	0.2529381261
93	0.2525555316
94	0.2519838526
95	0.251564712
96	0.2512650661
97	0.2505354812
98	0.2498843023
99	0.2490473277
100	0.248654344
101	0.2485107653
102	0.2480777463
103	0.2477815648
104	0.2473670128
105	0.2471932697
106	0.2469286917
107	0.2468184369
108	0.2460940991
109	0.2459183165
110	0.245614181
111	0.2453259124
112	0.2451415041
113	0.2446744979
114	0.2441820438
115	0.2439654193
116	0.2436251714
117	0.2431238346
118	0.2426648765
119	0.2424596093
120	0.2423079005
121	0.2418600235
122	0.2415862512
123	0.2413390713
124	0.2404317658
125	0.2399557955
126	0.2396437463
127	0.2393667912
128	0.2389437404
129	0.2384571398
130	0.2382305228
131	0.237971728
132	0.2378501579
133	0.2375173529
134	0.2370252105
135	0.2368944285
136	0.2365835307
137	0.2362625751
138	0.2358744859
139	0.2355981597
140	0.2351577232
141	0.2345119175
142	0.2342361778
143	0.2336901096
144	0.2332597865
145	0.2328243765
146	0.2326075672
147	0.2321202543
148	0.2316505819
149	0.231161531
150	0.2307776643
151	0.2306058097
152	0.2302452491
153	0.2298289418
154	0.2296153524
155	0.229227805
156	0.2291577674
157	0.228828574
158	0.2285052226
159	0.2280519564
160	0.2278707247
161	0.2275977868
162	0.2271817557
163	0.2270043075
164	0.2269479048
165	0.2266126132
166	0.226351395
167	0.2258395774
168	0.2257001833
169	0.2254271016
170	0.2251828163
171	0.2247660457
172	0.2244138598
173	0.2242483333
174	0.2239428485
175	0.2234458599
176	0.2231298896
177	0.2229552183
178	0.2226478712
179	0.2223315952
180	0.2221217488
181	0.2218728996
182	0.2215793221
183	0.2213840006
184	0.2212779889
185	0.2211334743
186	0.221073923
187	0.2208625507
188	0.2205843855
189	0.2203730722
190	0.2202099371
191	0.2199548757
